zip_2,term,int_rate,grade,sub_grade,emp_length,home_ownership,annual_inc,verification_status,purpose,dti,revol_bal,revol_util,mort_acc,credit_history,credit_line_ratio,balance_annual_income,fico_avg_score,installment_amnt_ratio
24,0.44937125159613367,4.643705054226288,1.3103585327115226,6.492014663244078,3.5139157769931546,0.6201782366915093,0.4803083961161638,0.8420668038630174,2.195176017846615,8.373617208345342,17286.776056144718,24.292214782680503,2.024164238173717,2565.4727596133052,0.16358646677786867,0.11488591439281434,31.931797392427484,0.004409809687890333
25,0.4670063576868118,4.5088717370955225,1.3055821639450187,6.501739087778824,3.469807367388223,0.5860566592964536,0.4857573082459552,0.8357529177639152,2.0188035180980397,8.006600729535704,14332.961842132729,23.818566022626676,2.0430224872426686,2588.031061372173,0.16040336420814363,0.11180925766758303,32.6750971796881,0.004496014530401267
26,0.460713451669027,4.541564486589307,1.331602341958765,6.590634221369006,3.5549752487312625,0.6454326770799831,0.5093164771718128,0.8380343772584465,2.198046087269345,8.475300420380904,14863.824161660103,23.555190844204034,1.8010382709195742,2579.295379788529,0.16974517012972684,0.11449935900146552,32.054110937541914,0.004400104151202741
27,0.4457135468168738,4.65011494601642,1.314434085595028,6.54247876504384,3.626448977509196,0.5986342048441456,0.505862450141925,0.8350153407939277,2.2643384574344667,8.401448307863523,21031.82651775053,24.247331920514288,1.9846712159628679,2597.1037875213624,0.1736072485507487,0.11415947502853899,31.38584025929009,0.004377613013732272
28,0.4512984524303189,4.713239072869917,1.327226004785472,6.597304336578202,3.6167351815836586,0.618778486452892,0.5261807218416783,0.832404688843405,2.2398403085627736,8.344780769261035,23351.76954171891,23.973958187761923,2.0407887977534287,2547.402036969233,0.17347991639559499,0.11487459894742658,30.679558976019283,0.004402004641077248
29,0.4445948324925905,4.665237550409042,1.3195413908212856,6.563782137378968,3.587223466136405,0.5968385048902537,0.49770656049161216,0.8316393182075116,2.2105088341789036,8.40442936253013,19418.928758505517,24.07053078698716,2.0233293940041803,2582.3342959736406,0.16950991930468623,0.11433250739171273,30.79774851491911,0.004374233787447896
30,0.4327828662994972,4.6696397526729685,1.3225724880379015,6.588791548909104,3.643111287735129,0.6047381545021362,0.5181612828211976,0.8259982987930841,2.347679310416575,8.345237604427567,24136.7671350676,24.04947867221077,2.073904794378308,2585.6297968793547,0.17307907660586994,0.11030631467473848,30.99390803264043,0.004250455691842346
31,0.44558931163660853,4.664101679361302,1.3273448160956258,6.616219482508179,3.5055272423255133,0.6229183213744706,0.47655378120278247,0.8217785744939407,2.2583059118867976,8.453403767011878,21690.86845397866,23.98541845532007,1.9811473369714168,2525.5258752966,0.1686328424908401,0.11455088320743989,29.98441327650539,0.004354423863795334
32,0.42667112637380944,4.552452614725234,1.2866474341368086,6.401878923035171,3.5968881794093153,0.6357944143760781,0.5185150936294294,0.8374768245607559,2.333130999123012,8.386358387461103,18474.48112128066,23.929478729628297,1.9846397224637162,2615.5814405340802,0.17589666918860838,0.11139213635513534,30.530407206911022,0.00424134485848523
33,0.41586965647618734,4.541533181885277,1.2848081017856041,6.373921008004608,3.548189056871437,0.6712497442386111,0.5304219817294717,0.8363549440643406,2.4282748351525836,8.238775170354703,28192.98490561464,23.43467818017802,1.8211095672402449,2667.469233066081,0.1862502319095127,0.10912954055177292,29.613150949535722,0.004164332477592445
34,0.42281257946790657,4.546905005759469,1.287821934495904,6.400995967190318,3.580172631889176,0.6444476392823335,0.5297171253599269,0.8389384110202843,2.316965971947529,8.47812932763114,18988.28405223329,23.43122026807844,1.9375913292233395,2650.3408141288537,0.17786404755820917,0.11092080793698221,30.188940955826503,0.004245991348969892
35,0.45654853713558724,4.62964865259429,1.317115497408228,6.53220354765782,3.5621614773435972,0.5805045325320544,0.4843950171528179,0.8298028286435494,2.225767475230399,8.374376228371549,18868.191470402504,23.955289814231552,2.083450067392154,2599.224050565,0.1674001598205974,0.11345214584269461,30.26918825998863,0.004472350918976757
36,0.4495537418475275,4.620826322236192,1.3213540538263349,6.5250348897071255,3.4901248216339558,0.6161030991923939,0.48456368284186174,0.828850635214853,2.332480185841671,8.482827352877928,14215.571529012903,23.888977025148854,1.9446728877890085,2586.3559789806195,0.16798185047509237,0.11471634532345429,30.267769422880342,0.004404699249902266
37,0.4481558674613896,4.675302011938614,1.3139605673591392,6.5301970264874925,3.630423083278154,0.595881280007639,0.503352686838643,0.8324182305000991,2.0867163491465233,8.325153491925422,18265.924643625716,23.546858970054966,2.040972832653221,2539.6699565038557,0.17132223399426355,0.11305235593773301,29.79144154662394,0.004372599703655132
38,0.4364041595731303,4.655378279367396,1.3027399876162136,6.464250285180416,3.543926021347416,0.6124493271356836,0.5075219566765617,0.8389516139475629,2.219284856789804,8.456904158752662,16696.522389088594,23.94935371838963,1.86600782390427,2576.251534455368,0.1669351227540002,0.11378945555212781,29.425968920375475,0.004241973573055649
39,0.4382896248386602,4.665293211639903,1.3200665129084423,6.546925116752389,3.5417776451021563,0.6398290231490168,0.5026075659009062,0.8316110081554466,2.2469663840342022,8.524307412387127,14009.838565384141,23.91059164881645,1.8287308186173954,2607.5162804182496,0.1676056734617145,0.11349712147809024,28.795724107602936,0.004271399596490835
40,0.4493835725521702,4.574713085873785,1.3001490761247125,6.463653002523369,3.582056823939527,0.5926529865529075,0.5075132762126106,0.8400485793011031,2.1333967468488533,8.22980198725468,18514.75374595516,23.833529741554027,2.0630523790617854,2476.131243806473,0.1681963085209339,0.11287580926936612,30.785036853101225,0.00437323035536942
41,0.4594804094272756,4.619228793160514,1.319665991329287,6.581000100710479,3.6279093544295633,0.5928787644316286,0.4750774719243062,0.8250097114164007,2.097744969879756,8.207814005869349,16829.932142001875,23.363534903362787,1.9338503609657696,2564.8427609800347,0.1637711248401742,0.11376357617656062,30.55050141525175,0.004436043395266805
42,0.44636840472480294,4.499499076626724,1.2586477652084618,6.2819397513052895,3.6050053091131677,0.5978594543557787,0.4825400418593303,0.8506682238321965,2.270701059645275,8.317684167155498,15928.07928190795,24.10248081893945,2.0666493804440527,2428.600871594656,0.16720565694776807,0.11476821819159046,29.699179237912183,0.004368795397647864
43,0.44635545216150674,4.596527855934262,1.3044377394445987,6.4738113648165605,3.62056084380371,0.60578367927627,0.48414906508584016,0.8406288565264437,2.220311557356087,8.15094491874102,18048.12293737987,23.72722404998075,1.8177061122272427,2538.9547785050613,0.16649393419688654,0.11125173472925978,30.672790629265318,0.0043694233282048365
44,0.4393884899763185,4.564920217218691,1.2916966251362756,6.418827050880372,3.603884657141553,0.6095161388583701,0.49280754137567806,0.8438176302881512,2.165350467022281,8.088743235631027,17723.22664137782,23.22960256607411,1.76895103153518,2686.5366104191107,0.1667552009248827,0.11216824208269299,31.05295862030445,0.004334755480228287
45,0.4471898168018614,4.56089298448718,1.292341127943302,6.430419542691567,3.6247533284634446,0.5822003801487546,0.49131013895623943,0.8394325750102065,2.161542717617195,8.092607881310913,16277.959802864389,23.844048923514563,1.9735945669904742,2535.3927152088067,0.16925321081950886,0.1134187396803489,30.762637604174824,0.004354432180434438
46,0.4487009414791554,4.621224158388705,1.298631925000347,6.463869324161802,3.6007039101400187,0.5610974449916303,0.49344433609232785,0.8339670727471944,2.0299725777233886,8.132586360123984,17147.369064785315,23.223640301430986,1.9916530665419971,2523.059825863941,0.16513417875614286,0.11081403792530424,29.450474179463672,0.004332267282981311
47,0.45676524572172855,4.580088800866732,1.278862836030926,6.34933474271195,3.617787873704781,0.5511456692204647,0.46912022641818135,0.8349914107028578,2.0686071843021407,8.177599871604405,14320.160880648773,23.187650481593653,2.009842410738379,2486.1522818460303,0.1676649118357471,0.11226686571441008,29.657583170556972,0.004415605840482268
48,0.43281364192256716,4.544841501020037,1.2876952439895257,6.399224574632079,3.627372081262534,0.6320027855479626,0.5083197415658824,0.8343099207358705,2.2627719210506023,8.1413374218845,17784.89987574434,23.63943653187032,1.9534613695383956,2665.962280047889,0.17143527993947424,0.10973400446754801,30.16241222210763,0.004251154801606903
49,0.4400939304105348,4.5554864293045165,1.2959705489114963,6.425082592394576,3.611778630637629,0.5786434035921351,0.5041659544655961,0.8482545360674463,2.16001808259767,8.151934091933278,16014.027880525371,24.23780705469331,1.9622176137264182,2466.4814179068812,0.1632886828811772,0.11264552111256951,30.57927095345827,0.004327828405218402
50,0.3806934938134404,4.905157593237219,1.2958965337120691,6.517395896779811,3.6561938711163013,0.5882299658752715,0.498475339615785,0.816496580927726,2.165272684236664,9.777804936899589,7620.283373235263,26.39423486403747,1.7440374613713623,2995.765395109609,0.1351955139909175,0.13757019368053636,39.06284420138207,0.004273775898033286
51,0.4879500364742666,5.830314048553637,1.5735915849388864,8.788520651286838,2.9113897843110044,1.2535663410560174,0.6437631074300328,0.9511897312113419,2.5727509827124,7.752564552640444,16622.357518600977,31.284493344299566,0.5345224838248488,1522.9278193194652,0.08584900011635661,0.09348573174371601,40.2817458362848,0.0056282966267418725
52,0.32338083338177726,3.6152341068122857,1.5801050680710411,8.403236226893023,3.0557189498796506,0.5745131499601417,0.407059632477941,0.8574929257125442,2.173067468400883,9.344157186681512,13437.935254297545,30.02742319598619,2.27231131071657,2560.0163200307,0.19914002543800657,0.12858874065086962,43.958536613227594,0.003013598576080975
